,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_[0],Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,id,age_group,age_group_counts
0,2023/06/05 2:46:25 PM GMT+5:30,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,3,1,Customer service,Reducing packaging waste,3,25-54,
1,2023/06/06 4:25:49 PM GMT+5:30,27,Male,Once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,5,25-54,
2,2023/06/06 6:35:33 PM GMT+5:30,27,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,No,3,2,Competitive prices,Product quality and accuracy,32,25-54,
3,2023/06/06 6:38:03 PM GMT+5:30,36,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Yes,2,3,Product recommendations,Customer service responsiveness,41,25-54,
4,2023/06/06 6:39:26 PM GMT+5:30,30,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Often,Yes,Moderately,Yes,4,No,3,2,Competitive prices,Product quality and accuracy,52,25-54,
5,2023/06/06 6:42:07 PM GMT+5:30,42,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,67,25-54,
6,2023/06/05 9:20:17 AM GMT+5:30,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,No,Heavily,Yes,1,Yes,1,2,User-friendly website/app interface,Product quality and accuracy,79,15-24,
7,2023/06/04 8:39:53 PM GMT+5:30,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,92,15-24,
8,2023/06/04 8:49:49 PM GMT+5:30,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,2,Yes,1,2,Competitive prices,Reducing packaging waste,104,55-75,
9,2023/06/05 10:08:15 PM GMT+5:30,44,Male,Few times a month,Clothing and Fashion;others,No,Few times a month,categories,First page,5,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,2,Yes,3,2,Product recommendations,Customer service responsiveness,110,25-54,
10,2023/06/06 7:54:19 PM GMT+5:30,24,Male,Once a month,others,No,Few times a month,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,123,15-24,
11,2023/06/06 8:08:19 PM GMT+5:30,27,Male,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,Maybe,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,2,Wide product selection,Shipping speed and reliability,125,25-54,
12,2023/06/06 9:08:39 PM GMT+5:30,27,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,130,25-54,
13,2023/06/06 11:28:31 PM GMT+5:30,24,Male,Less than once a month,Clothing and Fashion,No,Few times a month,categories,First page,1,Maybe,Sometimes,High shipping costs,Never,No,Heavily,Yes,3,Yes,3,3,User-friendly website/app interface,Product quality and accuracy,132,15-24,
14,2023/06/07 6:09:58 AM GMT+5:30,23,Male,Once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,3,No,3,3,Competitive prices,UI,135,15-24,
15,2023/06/06 9:59:35 AM GMT+5:30,25,Male,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Rarely,others,Never,No,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,155,25-54,
16,2023/06/07 11:47:44 AM GMT+5:30,41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability,156,25-54,
17,2023/06/07 1:40:37 PM GMT+5:30,27,Male,Once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,User-friendly website/app interface,Product quality and accuracy,184,25-54,
18,2023/06/07 4:10:33 PM GMT+5:30,39,Male,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,202,25-54,
19,2023/06/07 9:54:24 PM GMT+5:30,34,Male,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,3,No,3,3,Product recommendations,Customer service responsiveness,217,25-54,
20,2023/06/08 5:25:40 PM GMT+5:30,27,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,Yes,Always,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Product recommendations,Customer service responsiveness,305,25-54,
21,2023/06/08 5:27:22 PM GMT+5:30,23,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,Yes,1,2,Wide product selection,Product quality and accuracy,307,15-24,
22,2023/06/08 5:38:57 PM GMT+5:30,40,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,others,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,Sometimes,2,Yes,2,2,Product recommendations,Customer service responsiveness,333,25-54,
23,2023/06/08 5:49:56 PM GMT+5:30,34,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Occasionally,Sometimes,1,Sometimes,3,1,Competitive prices,Customer service responsiveness,364,25-54,
24,2023/06/08 5:54:49 PM GMT+5:30,46,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,1,Sometimes,3,2,Product recommendations,Reducing packaging waste,378,25-54,
25,2023/06/08 5:55:15 PM GMT+5:30,27,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,Yes,1,No,5,1,Competitive prices,Customer service responsiveness,379,25-54,
26,2023/06/08 5:55:54 PM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,3,1,Wide product selection,Product quality and accuracy,383,25-54,
27,2023/06/08 5:59:25 PM GMT+5:30,45,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,2,No,2,3,Product recommendations,Customer service responsiveness,395,25-54,
28,2023/06/09 10:26:01 AM GMT+5:30,34,Male,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,4,Maybe,Often,others,Often,No,Moderately,Sometimes,2,Sometimes,3,2,Competitive prices,Reducing packaging waste,400,25-54,
29,2023/06/05 1:37:01 PM GMT+5:30,24,Male,Less than once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Heavily,Yes,2,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,426,15-24,
30,2023/06/05 2:21:37 PM GMT+5:30,23,Male,Less than once a month,others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,Never,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,better app interface and lower shipping charges,456,15-24,
31,2023/06/09 3:10:36 PM GMT+5:30,23,Male,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,476,15-24,
32,2023/06/11 10:49:49 PM GMT+5:30,54,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,3,No,2,3,Competitive prices,Reducing packaging waste,482,25-54,
33,2023/06/11 10:50:44 PM GMT+5:30,25,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,3,No,2,2,Product recommendations,Customer service responsiveness,483,25-54,
34,2023/06/06 7:10:55 PM GMT+5:30,24,Male,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,4,5,Wide product selection,Nil,488,15-24,
35,2023/06/11 10:52:47 PM GMT+5:30,22,Male,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,2,No,Often,Found a better price elsewhere,Always,No,Occasionally,Sometimes,2,No,2,2,Competitive prices,Customer service responsiveness,490,15-24,
36,2023/06/11 11:02:55 PM GMT+5:30,27,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,2,No,2,3,Wide product selection,Product quality and accuracy,502,25-54,
37,2023/06/11 11:04:17 PM GMT+5:30,45,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Keyword,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,No,2,Yes,2,3,Product recommendations,Product quality and accuracy,506,25-54,
38,2023/06/06 7:16:28 PM GMT+5:30,37,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness,535,25-54,
39,2023/06/11 11:19:45 PM GMT+5:30,25,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Sometimes,4,3,Product recommendations,Customer service responsiveness,566,25-54,
40,2023/06/12 3:27:59 PM GMT+5:30,60,Male,Once a week,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,591,55-75,
